CT5_LANPAD~CT5_SEQUEN~CT5_DESC~CT5_STATUS~CT5_DC~CT5_DEBITO~CT5_CREDIT~CT5_MOEDAS~CT5_VLR01~CT5_VLR02~CT5_VLR03~CT5_VLR04~CT5_VLR05~CT5_HIST~CT5_HAGLUT~CT5_CCD~CT5_CCC~CT5_ORIGEM~CT5_INTERC~CT5_ITEMD~CT5_ITEMC~CT5_CLVLDB~CT5_CLVLCR~CT5_TPSALD~CT5_SBLOTE~CT5_MLTSLD~CT5_CTRLSD~CT5_EC05DB~CT5_EC05CR~CT5_EC06DB~CT5_EC06CR
9NC~5~D.CANC B.APROPRI DESP ASSIST.(BD7)-PCC   ~1~1~1222390120001~~12222~U_PLCTB9NC('005')~~~~~U_PLCTBORH('9NC','005','H')~U_PLCTBORH('9NC','005','A')~~~U_PLCTBORH('9NC','005','O')~2~~~~~1~58~;1~2~~~~
9NC~6~C.CANC B.APROPRI DESP ASSIST.(BD7)-PCC   ~1~2~~1222390810001~12222~U_PLCTB9NC('006')~~~~~U_PLCTBORH('9NC','006','H')~U_PLCTBORH('9NC','006','A')~~~U_PLCTBORH('9NC','006','O')~2~~~~~1~58~;1~2~~~~
9NC~7~D.CANC B.APROPRI DESP ASSIST.(BD7)-INS   ~1~1~1222390820001~~12222~U_PLCTB9NC('007')~~~~~U_PLCTBORH('9NC','007','H')~U_PLCTBORH('9NC','007','A')~~~U_PLCTBORH('9NC','007','O')~2~~~~~1~58~;1~2~~~~
9NC~8~C.CANC B.APROPRI DESP ASSIST.(BD7)-INS   ~1~2~~1222390990001~12222~U_PLCTB9NC('008')~~~~~U_PLCTBORH('9NC','008','H')~U_PLCTBORH('9NC','008','A')~~~U_PLCTBORH('9NC','008','O')~2~~~~~1~58~;1~2~~~~
9NC~9~C.CANC B.APROP DESP ASSIST(BD7)-CRE-MTJR ~1~2~~1222890810001~12222~U_PLCTB9NC('009')~~~~~U_PLCTBORH('9NC','009','H')~U_PLCTBORH('9NC','009','A')~~~U_PLCTBORH('9NC','009','O')~2~~~~~1~58~;1~2~~~~
9NC~10~D.CANC B.APROP DESP ASSIST(BD7)-DEB-DC  ~1~1~1222890820001~~12222~U_PLCTB9NC('010')~~~~~U_PLCTBORH('9NC','010','H')~U_PLCTBORH('9NC','010','A')~~~U_PLCTBORH('9NC','010','O')~2~~~~~1~58~;1~2~~~~
9LA~1~D.APROPRIACAO DESP LOTE AVISO.(B6T)      ~1~1~1222890990001~~12222~U_PLCTB9LA('001')~~~~~U_PLCTBORH('9LA','001','H')~U_PLCTBORH('9LA','001','A')~~~U_PLCTBORH('9LA','001','O')~2~~~~~1~10~;1~2~~~~
9LA~2~C.APROPRIACAO DESP LOTE AVISO.(B6T)      ~1~2~~1231110110001~12222~U_PLCTB9LA('002')~~~~~U_PLCTBORH('9LA','002','H')~U_PLCTBORH('9LA','002','A')~~~U_PLCTBORH('9LA','002','O')~2~~~~~1~10~;1~2~~~~
9LB~1~D.DESP LOTE AVISO-COBRADO.(B6T)          ~1~1~1231110120001~~12222~U_PLCTB9LB('001')~~~~~U_PLCTBORH('9LB','001','H')~U_PLCTBORH('9LB','001','A')~~~U_PLCTBORH('9LB','001','O')~2~~~~~1~11~;1~2~~~~
9LB~2~C.DESP LOTE AVISO-COBRADO.(B6T)          ~1~2~~1231110130001~12222~U_PLCTB9LB('002')~~~~~U_PLCTBORH('9LB','002','H')~U_PLCTBORH('9LB','002','A')~~~U_PLCTBORH('9LB','002','O')~2~~~~~1~11~;1~2~~~~
9A1~1~D.COMPOSICAO DA COBRANCA                 ~1~1~PLSCTP05(.f.,'D','I',.f.,.f.,'0',.t.)~~12222~U_PLCTB9A1('001')~~~~~U_PLCTBORH('9A1','001','H')~U_PLCTBORH('9A1','001','A')~~~U_PLCTBORH('9A1','001','O')~2~~~~~1~12~;1~2~~~~
9A1~2~C.COMPOSICAO DA COBRANCA                 ~1~2~~1231110140001~12222~U_PLCTB9A1('002')~~~~~U_PLCTBORH('9A1','002','H')~U_PLCTBORH('9A1','002','A')~~~U_PLCTBORH('9A1','002','O')~2~~~~~1~12~;1~2~~~~
9A1~3~D.COMPOSICAO DA COBRANCA-BSQ-AJUS        ~1~1~1231110910001~~12222~U_PLCTB9A1('003')~~~~~U_PLCTBORH('9A1','003','H')~U_PLCTBORH('9A1','003','A')~~~U_PLCTBORH('9A1','003','O')~2~~~~~1~12~;1~2~~~~
9A1~4~C.COMPOSICAO DA COBRANCA-BSQ-AJUS        ~1~2~~PLSCTP05(.f.,'D','I',.f.,.f.,'0',.t.)~12222~U_PLCTB9A1('004')~~~~~U_PLCTBORH('9A1','004','H')~U_PLCTBORH('9A1','004','A')~~~U_PLCTBORH('9A1','004','O')~2~~~~~1~12~;1~2~~~~
9A1~5~D.COMPOSICAO DA COBRANCA-IRRF            ~1~1~1231110920001~~12222~U_PLCTB9A1('005')~~~~~U_PLCTBORH('9A1','005','H')~U_PLCTBORH('9A1','005','A')~~~U_PLCTBORH('9A1','005','O')~2~~~~~1~12~;1~2~~~~
9A1~6~C.COMPOSICAO DA COBRANCA-IRRF            ~1~2~~1231110930001~12222~U_PLCTB9A1('006')~~~~~U_PLCTBORH('9A1','006','H')~U_PLCTBORH('9A1','006','A')~~~U_PLCTBORH('9A1','006','O')~2~~~~~1~12~;1~2~~~~
9A2~1~D.COMPOSICAO DA COBRANCA-PAG             ~1~1~1231110940001~~12222~U_PLCTB9A2('001')~~~~~U_PLCTBORH('9A2','001','H')~U_PLCTBORH('9A2','001','A')~~~U_PLCTBORH('9A2','001','O')~2~~~~~1~13~;1~2~~~~
9A2~2~C.COMPOSICAO DA COBRANCA-PAG             ~1~2~~1231120110001~12222~U_PLCTB9A2('002')~~~~~U_PLCTBORH('9A2','002','H')~U_PLCTBORH('9A2','002','A')~~~U_PLCTBORH('9A2','002','O')~2~~~~~1~13~;1~2~~~~
9A2~3~D.COMPOSICAO DA COBRANCA-FULLBM1         ~1~1~1231120120001~~12222~U_PLCTB9A2('003')~~~~~U_PLCTBORH('9A2','003','H')~U_PLCTBORH('9A2','003','A')~~~U_PLCTBORH('9A2','003','O')~2~~~~~1~13~;1~2~~~~
9A2~4~C.COMPOSICAO DA COBRANCA-FULLBM1         ~1~2~~1231120130001~12222~U_PLCTB9A2('004')~~~~~U_PLCTBORH('9A2','004','H')~U_PLCTBORH('9A2','004','A')~~~U_PLCTBORH('9A2','004','O')~2~~~~~1~13~;1~2~~~~
9A2~5~D.COMPOSICAO DA COBRANCA-IRRF            ~1~1~1231120140001~~12222~U_PLCTB9A2('005')~~~~~U_PLCTBORH('9A2','005','H')~U_PLCTBORH('9A2','005','A')~~~U_PLCTBORH('9A2','005','O')~2~~~~~1~13~;1~2~~~~
9A2~6~C.COMPOSICAO DA COBRANCA-IRRF            ~1~2~~1231120150001~12222~U_PLCTB9A2('006')~~~~~U_PLCTBORH('9A2','006','H')~U_PLCTBORH('9A2','006','A')~~~U_PLCTBORH('9A2','006','O')~2~~~~~1~13~;1~2~~~~
9AX~1~D.BAIXA-CONTAS A RECEBER PLS-DEB-PAG     ~1~1~1231120910001~~12222~U_PLCTB9AX('001')~~~~~U_PLCTBORH('9AX','001','H')~U_PLCTBORH('9AX','001','A')~~~U_PLCTBORH('9AX','001','O')~2~~~~~1~28~;1~2~~~~
9AX~2~C.BAIXA-CONTAS A RECEBER PLS-CRE-PAG     ~1~2~~1231120920001~12222~U_PLCTB9AX('002')~~~~~U_PLCTBORH('9AX','002','H')~U_PLCTBORH('9AX','002','A')~~~U_PLCTBORH('9AX','002','O')~2~~~~~1~28~;1~2~~~~
9AX~3~D.BAIXA-CONTAS A RECEBER PLS-DEB-ISS     ~1~1~1231120930001~~12222~U_PLCTB9AX('003')~~~~~U_PLCTBORH('9AX','003','H')~U_PLCTBORH('9AX','003','A')~~~U_PLCTBORH('9AX','003','O')~2~~~~~1~28~;1~2~~~~
9AX~4~C.BAIXA-CONTAS A RECEBER PLS-CRE-ISS     ~1~2~~1231120940001~12222~U_PLCTB9AX('004')~~~~~U_PLCTBORH('9AX','004','H')~U_PLCTBORH('9AX','004','A')~~~U_PLCTBORH('9AX','004','O')~2~~~~~1~28~;1~2~~~~
9AX~5~C.BAIXA-CONTAS A RECEBER PLS-CRE-MTJR    ~1~2~~1231120950001~12222~U_PLCTB9AX('005')~~~~~U_PLCTBORH('9AX','005','H')~U_PLCTBORH('9AX','005','A')~~~U_PLCTBORH('9AX','005','O')~2~~~~~1~28~;1~2~~~~
9AX~6~D.BAIXA-CONTAS A RECEBER PLS-DEB-DC      ~1~1~1231210110001~~12222~U_PLCTB9AX('006')~~~~~U_PLCTBORH('9AX','006','H')~U_PLCTBORH('9AX','006','A')~~~U_PLCTBORH('9AX','006','O')~2~~~~~1~28~;1~2~~~~
9B6~1~D.CANC-BAIXA-CONTAS RECEBER PLS-DEB-PAG  ~1~1~1231210120001~~12222~U_PLCTB9B6('001')~~~~~U_PLCTBORH('9B6','001','H')~U_PLCTBORH('9B6','001','A')~~~U_PLCTBORH('9B6','001','O')~2~~~~~1~29~;1~2~~~~
9B6~2~C.CANC-BAIXA-CONTAS RECEBER PLS-CRE-PAG  ~1~2~~1231210130001~12222~U_PLCTB9B6('002')~~~~~U_PLCTBORH('9B6','002','H')~U_PLCTBORH('9B6','002','A')~~~U_PLCTBORH('9B6','002','O')~2~~~~~1~29~;1~2~~~~
9B6~3~D.CANC-BAIXA-CONTAS RECEBER PLS-DEB-ISS  ~1~1~1231210140001~~12222~U_PLCTB9B6('003')~~~~~U_PLCTBORH('9B6','003','H')~U_PLCTBORH('9B6','003','A')~~~U_PLCTBORH('9B6','003','O')~2~~~~~1~29~;1~2~~~~
9B6~4~C.CANC-BAIXA-CONTAS RECEBER PLS-CRE-ISS  ~1~2~~1231210910001~12222~U_PLCTB9B6('004')~~~~~U_PLCTBORH('9B6','004','H')~U_PLCTBORH('9B6','004','A')~~~U_PLCTBORH('9B6','004','O')~2~~~~~1~29~;1~2~~~~
9B6~5~C.CANC-BAIXA-CONTAS RECEBER PLS-CRE-MTJR ~1~2~~1231210920001~12222~U_PLCTB9B6('005')~~~~~U_PLCTBORH('9B6','005','H')~U_PLCTBORH('9B6','005','A')~~~U_PLCTBORH('9B6','005','O')~2~~~~~1~29~;1~2~~~~
9B6~6~D.CANC-BAIXA-CONTAS RECEBER PLS-DEB-DC   ~1~1~1231210930001~~12222~U_PLCTB9B6('006')~~~~~U_PLCTBORH('9B6','006','H')~U_PLCTBORH('9B6','006','A')~~~U_PLCTBORH('9B6','006','O')~2~~~~~1~29~;1~2~~~~
9NX~1~D.BAIXA-CONTAS A RECEBER PLS-DEB-PAG     ~1~1~1231210940001~~12222~U_PLCTB9NX('001')~~~~~U_PLCTBORH('9NX','001','H')~U_PLCTBORH('9NX','001','A')~~~U_PLCTBORH('9NX','001','O')~2~~~~~1~30~;1~2~~~~
9NX~2~C.BAIXA-CONTAS A RECEBER PLS-CRE-PAG     ~1~2~~1231220110001~12222~U_PLCTB9NX('002')~~~~~U_PLCTBORH('9NX','002','H')~U_PLCTBORH('9NX','002','A')~~~U_PLCTBORH('9NX','002','O')~2~~~~~1~30~;1~2~~~~
9NX~3~D.BAIXA-CONTAS A RECEBER PLS-DEB-ISS     ~1~1~1231220120001~~12222~U_PLCTB9NX('003')~~~~~U_PLCTBORH('9NX','003','H')~U_PLCTBORH('9NX','003','A')~~~U_PLCTBORH('9NX','003','O')~2~~~~~1~30~;1~2~~~~
9NX~4~C.BAIXA-CONTAS A RECEBER PLS-CRE-ISS     ~1~2~~1231220130001~12222~U_PLCTB9NX('004')~~~~~U_PLCTBORH('9NX','004','H')~U_PLCTBORH('9NX','004','A')~~~U_PLCTBORH('9NX','004','O')~2~~~~~1~30~;1~2~~~~
