DE0_FILIAL,C,2,0;DE0_CODLAY,C,6,0;DE0_CODREG,C,6,0;DE0_STATUS,C,1,0;DE0_TAMREG,N,4,0;DE0_IDTREG,C,3,0;DE0_CODRCP,C,6,0;DE0_OCOREG,N,3,0;DE0_ALIAS,C,3,0;DE0_POSICI,C,1,0;DE0_POSORD,C,1,0;DE0_POSCHV,C,100,0;DE0_COND,C,254,0;DE0_VALID,C,254,0;DE0_NOMARQ,C,121,0;DE0_CTRTAM,C,1,0;DE0_CODQRY,C,6,0;DE0_CODRC2,C,6,0;DE0_CODRC3,C,6,0;DE0_CODRC4,C,6,0;DE0_CODRC5,C,6,0;DE0_CODRC6,C,6,0
;A400J;R407;1;18;;;;R07;2;;;R07->(!Eof());A400Valid('407');;2;;;;;;
;A400J;R408;1;34;;;;R08;2;;;lGera408 .AND. R08->(!Eof());;;2;;;;;;
;A400J;R410;1;261;;;;;2;;;;lGera410;;2;;;;;;
;A400J;R499;1;67;;;;;2;;;;;;2;;;;;;
;A450C;R451;1;29;;R452;;;2;;;;;;;;;;;;
;A450C;R452;1;142;;;;TMP;2;;;TMP->(!Eof());;;;;;;;;
;A450C;R453;1;96;;R454;;R53;2;1;;SUBSTR(R53->CHAVE,12,3)=='453' .and. R53->(!Eof());;;;;;;;;
;A450C;R454;1;33;;;;R54;2;1;;SUBSTR(R54->CHAVE,12,3)=='454' .and. SUBSTR(R53->CHAVE,15,1)==SUBSTR(R54->CHAVE,15,1) .and. R54->(!Eof());;;;;;;;;
;A450C;R459;1;18;;;;;2;;;;;;;;;;;;
;A500P;R501;1;240;;R502;;;2;;;;;;;;R507;;;;
;A500P;R502;1;690;;R503;;R02;2;;;R02->(!EOF());;;;;R504;R505;;;
;A500P;R503;1;579;;;;R03;1;1;SUBSTR(R02->CHAVE,1,19)+'503';SUBSTR(R02->CHAVE,1,19)==SUBSTR(R03->CHAVE,1,19) .and. SUBSTR(R03->CHAVE,20,3)=='503' .and. R03->(!EOF());R03->R503<>Space(242);;;;;;;;
;A500P;R504;1;1082;1;;;R04;1;1;SUBSTR(R02->CHAVE,1,19)+'504';SUBSTR(R02->CHAVE,1,19)==SUBSTR(R04->CHAVE,1,19) .and. SUBSTR(R04->CHAVE,20,3)=='504' .and. R04->(!EOF());;;2;;;;;;
;A500P;R505;1;151;;;;R05;1;1;SUBSTR(R02->CHAVE,1,19)+'505';SUBSTR(R02->CHAVE,1,19)==SUBSTR(R05->CHAVE,1,19) .and. SUBSTR(R05->CHAVE,20,3)=='505' .and. R05->(!EOF());;;;;;;;;
;A500P;R506;1;999;;;;R06;2;;;R06->(!EOF());;;;;;;;;
;A500P;R507;1;227;;R508;;R07;2;;;R07->(!EOF());;;;;;;;;
;A500P;R508;1;332;;;;R08;2;;;SUBSTR(R07->CHAVE,1,19)==SUBSTR(R08->CHAVE,1,19) .and.  R08->(!EOF());;;;;;;;;
;A500P;R509;1;76;;;;;2;;;;;;;;;;;;
;A900C;R901;1;26;;;;;2;;;;;;;;;;;;
;A900C;R902;1;410;;R903;;R02;2;;;R02->(!EOF());;;;;R904;;;;
;A900C;R905;1;188;;;;R03;1;1;SUBSTR(R02->CHAVE,1,19)+'903';SUBSTR(R02->CHAVE,1,19)==SUBSTR(R03->CHAVE,1,19) .and. SUBSTR(R03->CHAVE,20,3)=='903' .and. R03->(!EOF());R03->R903<>Space(127);;;;;;;;
;A900C;R906;1;34;;;;;2;;;;;;;;;;;;
;A900C;R909;1;27;;;;;2;;;;;;;;;;;;
;A1300E;R301;1;46;;;;;2;;;;;;;;;;;;
;A1300E;R302;1;407;;R303;;R02;2;;;R02->(!Eof());;;;;;;;;
;A1300E;R303;1;426;;R305;;R03;2;;R03->CHAVE;R02->CHAVE == SUBSTR(R03->CHAVE,1,len(R02->CHAVE))  .and. R03->(!EOF());;;;;R311;;;;
;A1300E;R305;1;223;;;;R05;2;;R03->CHAVE;R03->CHAVE == R05->CHAVE  .and. R05->(!EOF());;;;;R306;;;;
;A1300E;R311;1;96;;R306;;R11;2;;R03->CHAVE;R03->CHAVE == R11->CHAVE  .and. R11->(!EOF());lGeraR311;;;;;;;;
;A1300E;R306;1;82;;R307;;R06;2;;R03->CHAVE;R03->CHAVE == R06->CHAVE  .and. R06->(!EOF());;;;;R308;;;;
;A1300E;R307;1;71;;;;R07;2;;R03->CHAVE;R03->CHAVE == R07->CHAVE  .and.  R06->CHAVE == R07->CHAVE .and. R07->(!EOF());;;;;;;;;
;A1300E;R308;1;383;;R309;;R08;2;;R03->CHAVE;R03->CHAVE == SUBSTR(R08->CHAVE,1,LEN(R03->CHAVE)) .and. R06->CHAVE == SUBSTR(R08->CHAVE,1,LEN(R06->CHAVE)) .and. R08->(!EOF());;;;;R310;;;;
;A1300E;R309;1;20;;;;R09;2;;R08->CHAVE;R06->CHAVE == SUBSTR(R09->CHAVE,1,LEN(R06->CHAVE)) .and. R08->CHAVE == R09->CHAVE .and. R09->(!EOF());;;;;;;;;
;A1300E;R310;1;22;;;;R10;2;;;ALLTRIM(R06->CHAVE)  == ALLTRIM(R10->CHAVE) .and. (ALLTRIM(SUBSTR(R08->CHAVE,1,(54))) = ALLTRIM(R10->CHAVE) .or. (ALLTRIM(SUBSTR(R08->CHAVE,1,len(ALLTRIM(R10->CHAVE)))) ) == ALLTRIM(R10->CHAVE))  .and. R10->(!EOF()) ;;;;;;;;;
;A1300E;R316;1;46;;;;R16;2;;;R16->(!EOF());;;;;;;;;
;A1300E;R317;1;178;;;;R17;2;;;R17->(!EOF());;;;;;;;;
;A1300E;R318;1;137;;;;R18;2;;;R18->(!EOF());;;;;;;;;
;A1300E;R319;1;95;;;;R19;2;;;R19->(!EOF());;;;;;;;;
;A100G;R101;1;46;101;R102;;;2;0;;;;;;;;;;;
;A100G;R102;1;364;102;R103;;R02;2;;;R02->(!Eof());;;;;R104;;;;
;A100G;R103;1;116;103;;;R03;2;;;R03->(!Eof()) .and. R02->CODEMP == R03->CODEMP;;;;;;;;;
;A100G;R104;1;652;104;R105;;R04;2;;;R04->(!Eof()) .and. R02->CODEMP == R04->CODEMP;;;;;R107;R108;;;
